year;precipitation;groundwater_recharge;total_water_demand;irrigation_demand;livestock_demand;domestic_demand;industry_demand;desalination_abstraction;non_fossil_groundwater_abstraction;fossil_groundwater_abstraction;surface_water_abstraction
1980;105218.3;2.101965e+04;2.283225e+03;4.105248e+02;1.200593e+01;1.670956e+02;5.097451e+02;4.337507e-01;2.863504e+02;1.214959e+02;1.835895e+03
1981;108681.3;2.199681e+04;2.264329e+03;3.978150e+02;1.210465e+01;1.698045e+02;5.078137e+02;4.375849e-01;2.740258e+02;1.211310e+02;1.833248e+03
1982;106209.0;2.036273e+04;2.255620e+03;3.969573e+02;1.229581e+01;1.717105e+02;5.061956e+02;4.355090e-01;2.812772e+02;1.222323e+02;1.810093e+03
1983;105543.4;2.051583e+04;2.364857e+03;4.039686e+02;1.245990e+01;1.752856e+02;5.124124e+02;4.920413e-01;2.905032e+02;1.114244e+02;1.926636e+03
1984;107465.7;2.212229e+04;2.396722e+03;4.338681e+02;1.258268e+01;1.796509e+02;5.183686e+02;4.968177e-01;2.987480e+02;1.269070e+02;1.931313e+03
1985;105353.6;2.113086e+04;2.401817e+03;4.306150e+02;1.258608e+01;1.840885e+02;5.208580e+02;5.012053e-01;2.985984e+02;1.389331e+02;1.924914e+03
1986;103882.0;2.048112e+04;2.434393e+03;4.435472e+02;1.277528e+01;1.910465e+02;5.402395e+02;4.993462e-01;2.971205e+02;1.337298e+02;1.963373e+03
1987;100580.0;1.821288e+04;2.476563e+03;4.542067e+02;1.283969e+01;1.977176e+02;5.553985e+02;5.081285e-01;2.964269e+02;1.573228e+02;1.974945e+03
1988;107932.3;2.161199e+04;2.571699e+03;4.657018e+02;1.310483e+01;2.052047e+02;5.650834e+02;1.495976e+00;3.048347e+02;1.514795e+02;2.068080e+03
1989;107290.1;2.173960e+04;2.619098e+03;4.659135e+02;1.333088e+01;2.100503e+02;5.685671e+02;1.508445e+00;3.238836e+02;1.537011e+02;2.089098e+03
1990;106001.0;2.124445e+04;2.719590e+03;4.550649e+02;1.359640e+01;2.180394e+02;5.851542e+02;1.510321e+00;3.193880e+02;1.419328e+02;2.205911e+03
1991;103263.6;1.994147e+04;2.719232e+03;4.867410e+02;1.364762e+01;2.200159e+02;5.835084e+02;1.497952e+00;3.332795e+02;1.541165e+02;2.168677e+03
1992;101908.0;1.861194e+04;2.756934e+03;4.831687e+02;1.291526e+01;2.232185e+02;5.830807e+02;1.506832e+00;3.364980e+02;1.522152e+02;2.204393e+03
1993;105344.1;2.066542e+04;2.761285e+03;4.770845e+02;1.303765e+01;2.281560e+02;5.891748e+02;1.691056e+00;3.332423e+02;1.505578e+02;2.214984e+03
1994;105921.4;2.125634e+04;2.842862e+03;4.976215e+02;1.324356e+01;2.336314e+02;5.896725e+02;1.695819e+00;3.372932e+02;1.683764e+02;2.277155e+03
1995;106017.1;2.120384e+04;2.906309e+03;5.138212e+02;1.349818e+01;2.430409e+02;6.012201e+02;1.787050e+00;3.518011e+02;1.526100e+02;2.343819e+03
1996;108598.1;2.241652e+04;2.979607e+03;5.220184e+02;1.357188e+01;2.508722e+02;6.094791e+02;1.800533e+00;3.582391e+02;1.431976e+02;2.425232e+03
1997;105649.3;1.931913e+04;2.916680e+03;4.878256e+02;1.335658e+01;2.555820e+02;6.134589e+02;1.815629e+00;3.515124e+02;1.499508e+02;2.341995e+03
1998;109655.5;2.228816e+04;3.036209e+03;5.175944e+02;1.346965e+01;2.580079e+02;6.145351e+02;1.888173e+00;3.659835e+02;1.464979e+02;2.458293e+03
1999;110764.3;2.377408e+04;3.026401e+03;5.497323e+02;1.333352e+01;2.573132e+02;6.013676e+02;1.908579e+00;3.656248e+02;1.815636e+02;2.412408e+03
2000;111621.5;2.306080e+04;3.074843e+03;5.549345e+02;1.351699e+01;2.642041e+02;6.100522e+02;1.946676e+00;3.654940e+02;1.975553e+02;2.435438e+03
2001;106692.1;2.151715e+04;3.132788e+03;5.429179e+02;1.339852e+01;2.670027e+02;6.142862e+02;1.959166e+00;3.765268e+02;1.907810e+02;2.481629e+03
2002;105436.8;2.118749e+04;3.167609e+03;5.608538e+02;1.339374e+01;2.708107e+02;6.193806e+02;1.980958e+00;3.651793e+02;2.070535e+02;2.512014e+03
2003;106631.7;2.140598e+04;3.334738e+03;5.450955e+02;1.375317e+01;2.865530e+02;6.528692e+02;2.729921e+00;3.940503e+02;1.744433e+02;2.679201e+03
2004;108117.9;2.106963e+04;3.359157e+03;5.510827e+02;1.394944e+01;3.023556e+02;6.855333e+02;2.792479e+00;3.971177e+02;1.824176e+02;2.697869e+03
2005;106033.0;2.100128e+04;3.429211e+03;5.514565e+02;1.411030e+01;3.157984e+02;7.095410e+02;2.849096e+00;4.052707e+02;1.818881e+02;2.761781e+03
2006;110568.9;2.237134e+04;3.521380e+03;5.735738e+02;1.418234e+01;3.299518e+02;7.310473e+02;2.911180e+00;3.962259e+02;1.949962e+02;2.851564e+03
2007;108823.9;2.291361e+04;3.562976e+03;5.723967e+02;1.414857e+01;3.483559e+02;7.559574e+02;2.963905e+00;4.113608e+02;1.927675e+02;2.879205e+03
2008;111011.5;2.449243e+04;3.636802e+03;5.515718e+02;1.438120e+01;3.639098e+02;7.821230e+02;3.021720e+00;4.172604e+02;1.978902e+02;2.950778e+03
2009;107095.9;2.170830e+04;3.554133e+03;5.816629e+02;1.422812e+01;3.599958e+02;7.545774e+02;2.991779e+00;4.078812e+02;2.140876e+02;2.844859e+03
2010;113412.3;2.408404e+04;3.655548e+03;5.567896e+02;1.458630e+01;3.800561e+02;7.832758e+02;3.023803e+00;4.139695e+02;1.975697e+02;2.960232e+03
